"","x"
"1811",11186
"1812",11192
"1813",11195
"1814",11196
"1815",11197
"1816",11207
"1817",11208
"1818",11210
"1819",11211
"1820",11214
"1821",11227
"1822",11228
"1823",11229
"1824",11233
"1825",11237
"1826",11257
"1827",11258
"1828",11274
"1829",11286
"1830",11290
"1831",11292
"1832",11294
"1833",11298
"1834",11302
"1835",11321
"1836",11323
"1837",11324
"1838",11334
"1839",11355
"1840",11357
"1841",11358
"1842",11359
"1843",11360
"1844",11362
"1845",11363
"1846",11367
"1847",11369
"1848",11370
"1849",11371
"1850",11372
"1851",11373
"1852",11376
"1853",11377
"1854",11380
"1855",11381
"1856",11388
"1857",11393
"1858",11404
"1859",11409
"1860",11418
"1861",11419
"1862",11422
"1863",11425
"1864",11427
"1865",11429
"1866",11434
"1867",11435
"1868",11439
"1869",11440
"1870",11444
"1871",11445
"1872",11447
"1873",11449
"1874",11450
"1875",11451
"1876",11452
"1877",11454
"1878",11455
"1879",11456
"1880",11457
"1881",11460
"1882",11466
"1883",11467
"1884",11475
"1885",11478
"1886",11479
"1887",11489
"1888",11490
"1889",11494
"1890",11495
"1891",11498
"1892",11499
"1893",11510
"1894",11519
"1895",11522
"1896",11524
"1897",11526
"1898",11527
"1899",11528
"1900",11530
"1901",11541
"1902",11546
"1903",11547
"1904",11548
"1905",11549
"1906",11553
"1907",11559
"1908",11566
"1909",11568
"1910",11578
"1911",11581
"1912",11582
"1913",11583
"1914",11585
"1915",11590
"1916",11614
"1917",11617
"1918",11618
"1919",11621
"1920",11626
"1921",11629
"1922",11632
"1923",11666
"1924",11670
"1925",11671
"1926",11677
"1927",11678
"1928",11690
"1929",11691
"1930",11693
"1931",11695
"1932",11696
"1933",11697
"1934",11699
"1935",11700
"1936",11708
"1937",11709
"1938",11710
"1939",11721
"1940",11727
"1941",11729
"1942",11738
"1943",11744
"1944",11745
"1945",11746
"1946",11753
"1947",11754
"1948",11758
"1949",11761
"1950",11767
"1951",11776
"1952",11780
"1953",11782
"1954",11787
"1955",11794
"1956",11816
"1957",11817
"1958",11819
"1959",11820
"1960",11827
"1961",11828
"1962",11830
"1963",11833
"1964",11834
"1965",11835
"1966",11837
"1967",11839
"1968",11840
"1969",11841
"1970",11842
"1971",11843
"1972",11844
"1973",11845
"1974",11846
"1975",11847
"1976",11848
"1977",11861
"1978",11869
"1979",11873
"1980",11874
"1981",11875
"1982",11877
"1983",11881
"1984",11882
"1985",11885
"1986",11892
"1987",11910
"1988",11911
"1989",11917
"1990",11919
"1991",11921
"1992",11923
"1993",11928
"1994",11931
"1995",11953
"1996",11956
"1997",11958
"1998",11961
"1999",11964
"2000",11971
"2001",11972
"2002",11976
"2003",11978
"2004",11983
"2005",11986
"2006",12009
"2007",12010
"2008",12014
"2009",12017
"2010",12020
"2011",12045
"2012",12047
"2013",12048
"2014",12050
"2015",12055
"2016",12062
"2017",12070
"2018",12088
"2019",12089
"2020",12090
"2021",12096
"2022",12098
"2023",12106
"2024",12108
"2025",12109
"2026",12110
"2027",12114
"2028",12115
"2029",12122
"2030",12125
"2031",12126
"2032",12128
"2033",12145
"2034",12153
"2035",12171
"2036",12176
"2037",12178
"2038",12181
"2039",12191
"2040",12192
"2041",12193
"2042",12194
"2043",12196
"2044",12197
"2045",12205
"2046",12208
"2047",12212
"2048",12214
"2049",12215
"2050",12223
"2051",12224
"2052",12243
"2053",12251
"2054",12253
"2055",12269
"2056",12271
"2057",12272
"2058",12290
"2059",12293
"2060",12294
"2061",12295
"2062",12307
"2063",12311
"2064",12312
"2065",12313
"2066",12320
"2067",12332
"2068",12340
"2069",12367
"2070",12373
"2071",12374
"2072",12377
"2073",12378
"2074",12385
"2075",12387
"2076",12395
"2077",12412
"2078",12415
"2079",12419
"2080",12434
"2081",12438
"2082",12444
"2083",12449
"2084",12450
"2085",12460
"2086",12462
"2087",12465
"2088",12471
"2089",12476
"2090",12496
"2091",12507
"2092",12512
"2093",12521
"2094",12525
"2095",12526
"2096",12541
"2097",12544
"2098",12545
"2099",12546
"2100",12560
"2101",12563
"2102",12566
"2103",12567
"2104",12579
"2105",12581
"2106",12586
"2107",12588
"2108",12592
"2109",12604
"2110",12621
"2111",12642
"2112",12643
"2113",12645
"2114",12646
"2115",12647
"2116",12650
"2117",12651
"2118",12658
"2119",12659
"2120",12660
"2121",12661
"2122",12663
"2123",12665
"2124",12666
"2125",12679
"2126",12682
"2127",12696
"2128",12699
"2129",12704
"2130",12709
"2131",12711
"2132",12719
"2133",12725
"2134",12726
"2135",12734
"2136",12735
"2137",12748
"2138",12749
"2139",12762
"2140",12763
"2141",12772
"2142",12773
"2143",12792
"2144",12796
"2145",12797
"2146",12803
